Kinetic Energy: 0 (kT) 
Potential Energy: 9.90201 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 26.4231 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 11.6657 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 12.4452 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 17.3987 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 26.2073 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 22.4181 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 13.1059 (kcal/mol) 
Kinetic Energy: 0 (kT) 
Potential Energy: 17.7743 (kcal/mol) 
